Simulation,Beta_flu,Beta_mrsa,Delta,Initial_infected_flu,Initial_infected_mrsa,Contact Number,Day,S,I_flu,I_mrsa,I_both,I_mrsa_R_flu,S_mrsa_R_flu
1,0.3,0.05,0.6,2,2,10,0,47,2,2,0,0,0
1,0.3,0.05,0.6,2,2,10,1,26,16,2,7,0,0
1,0.3,0.05,0.6,2,2,10,2,6,32,2,10,0,1
1,0.3,0.05,0.6,2,2,10,3,0,29,1,15,0,6
1,0.3,0.05,0.6,2,2,10,4,0,25,1,17,1,7
1,0.3,0.05,0.6,2,2,10,5,0,22,1,20,1,7
1,0.3,0.05,0.6,2,2,10,6,0,17,1,24,2,7
1,0.3,0.05,0.6,2,2,10,7,0,17,1,24,2,7
1,0.3,0.05,0.6,2,2,10,8,0,16,1,25,3,6
1,0.3,0.05,0.6,2,2,10,9,0,11,1,27,3,9
1,0.3,0.05,0.6,2,2,10,10,0,7,1,30,5,8
1,0.3,0.05,0.6,2,2,10,11,0,4,1,30,5,11
1,0.3,0.05,0.6,2,2,10,12,0,2,1,30,6,12
1,0.3,0.05,0.6,2,2,10,13,0,1,1,31,8,10
1,0.3,0.05,0.6,2,2,10,14,0,0,1,31,8,11
1,0.3,0.05,0.6,2,2,10,15,0,0,0,32,10,9
1,0.3,0.05,0.6,2,2,10,16,0,0,0,32,11,8
1,0.3,0.05,0.6,2,2,10,17,0,0,0,32,11,8
1,0.3,0.05,0.6,2,2,10,18,0,0,0,31,11,9
1,0.3,0.05,0.6,2,2,10,19,0,0,0,31,10,10
1,0.3,0.05,0.6,2,2,10,20,0,0,0,31,11,9
1,0.3,0.05,0.6,2,2,10,21,0,0,0,30,11,10
1,0.3,0.05,0.6,2,2,10,22,0,0,0,30,11,10
1,0.3,0.05,0.6,2,2,10,23,0,0,0,30,11,10
1,0.3,0.05,0.6,2,2,10,24,0,0,0,30,11,10
1,0.3,0.05,0.6,2,2,10,25,0,0,0,29,12,10
1,0.3,0.05,0.6,2,2,10,26,0,0,0,27,12,12
1,0.3,0.05,0.6,2,2,10,27,0,0,0,27,12,12
1,0.3,0.05,0.6,2,2,10,28,0,0,0,27,12,12
1,0.3,0.05,0.6,2,2,10,29,0,0,0,27,12,12
1,0.3,0.05,0.6,2,2,10,30,0,0,0,27,13,11
2,0.3,0.05,0.6,2,2,10,0,47,2,2,0,0,0
2,0.3,0.05,0.6,2,2,10,1,27,17,2,5,0,0
2,0.3,0.05,0.6,2,2,10,2,8,32,1,10,0,0
2,0.3,0.05,0.6,2,2,10,3,0,33,1,13,0,4
2,0.3,0.05,0.6,2,2,10,4,0,27,1,17,0,6
2,0.3,0.05,0.6,2,2,10,5,0,25,1,18,1,6
2,0.3,0.05,0.6,2,2,10,6,0,19,1,21,2,8
2,0.3,0.05,0.6,2,2,10,7,0,17,1,21,2,10
2,0.3,0.05,0.6,2,2,10,8,0,15,1,23,2,10
2,0.3,0.05,0.6,2,2,10,9,0,10,1,26,2,12
2,0.3,0.05,0.6,2,2,10,10,0,8,1,28,5,9
2,0.3,0.05,0.6,2,2,10,11,0,7,1,28,6,9
2,0.3,0.05,0.6,2,2,10,12,0,6,1,29,7,8
2,0.3,0.05,0.6,2,2,10,13,0,6,0,30,8,7
2,0.3,0.05,0.6,2,2,10,14,0,6,0,29,8,8
2,0.3,0.05,0.6,2,2,10,15,0,5,0,30,9,7
2,0.3,0.05,0.6,2,2,10,16,0,4,0,30,11,6
2,0.3,0.05,0.6,2,2,10,17,0,4,0,30,11,6
2,0.3,0.05,0.6,2,2,10,18,0,3,0,29,12,7
2,0.3,0.05,0.6,2,2,10,19,0,3,0,27,13,8
2,0.3,0.05,0.6,2,2,10,20,0,2,0,27,15,7
2,0.3,0.05,0.6,2,2,10,21,0,2,0,26,15,8
2,0.3,0.05,0.6,2,2,10,22,0,2,0,26,15,8
2,0.3,0.05,0.6,2,2,10,23,0,1,0,25,15,10
2,0.3,0.05,0.6,2,2,10,24,0,1,0,24,14,12
2,0.3,0.05,0.6,2,2,10,25,0,1,0,24,15,11
2,0.3,0.05,0.6,2,2,10,26,0,1,0,24,16,10
2,0.3,0.05,0.6,2,2,10,27,0,0,0,24,17,10
2,0.3,0.05,0.6,2,2,10,28,0,0,0,24,17,10
2,0.3,0.05,0.6,2,2,10,29,0,0,0,24,17,10
2,0.3,0.05,0.6,2,2,10,30,0,0,0,24,16,11
3,0.3,0.05,0.6,2,2,10,0,47,2,2,0,0,0
3,0.3,0.05,0.6,2,2,10,1,30,14,1,6,0,0
3,0.3,0.05,0.6,2,2,10,2,10,29,1,11,0,0
3,0.3,0.05,0.6,2,2,10,3,0,35,1,15,0,0
